?city ?year ?population .
<http://dbpedia.org/resource/Catamarca> "2010" "204865.910814638"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Comodoro%20Rivadavia-Rada%20Tilly> "2010" "143291.153938137"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Concordia> "2010" "152271.040291904"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/C%C3%B3rdoba> "2010" "1405547.38043669"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Corrientes> "2010" "358278.429569445"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Formosa> "2010" "240088.945193687"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Plata> "2010" "744885.526810173"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/La%20Rioja> "2010" "181938.392736754"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/San%20Luis> "2010" "203161.629153992"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mar%20del%20Plata-Bat%C3%A1n> "2010" "618111.615502295"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Mendoza> "2010" "902127.207628422"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Neuqu%C3%A9N-Plottier> "2010" "265215.661375981"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Paran%C3%A1> "2010" "276605.320616689"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Posadas> "2010" "298450.237364442"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Rawson-Trelew-Playa%20Uni%C3%B3n> "2010" "128970.652529568"^^<http://www.w3.org/2001/XMLSchema#double> .
<http://dbpedia.org/resource/Resistencia> "2010" "389940.094689328"^^<http://www.w3.org/2001/XMLSchema#double> .
