# city	citylabel	year	population
http://harth.org/andreas/2017/citydata/unsd/cities#000820U	Salta	2012	554291
http://harth.org/andreas/2017/citydata/unsd/cities#000880U	San Salvador de Jujuy-Palpalá	2012	318287
http://harth.org/andreas/2017/citydata/unsd/cities#000870U	San Nicolás-Villa Constitución	2012	181730
http://harth.org/andreas/2017/citydata/unsd/cities#000810U	Rosario	2012	1277149
http://harth.org/andreas/2017/citydata/unsd/cities#000895U	Santa Rosa-Toay	2012	125354
http://harth.org/andreas/2017/citydata/unsd/cities#000800U	Río Cuarto	2012	167057
http://harth.org/andreas/2017/citydata/unsd/cities#000790U	Resistencia	2012	400869
http://harth.org/andreas/2017/citydata/unsd/cities#000760U	Paraná	2012	283328
http://harth.org/andreas/2017/citydata/unsd/cities#000730U	Mendoza	2012	916220
http://harth.org/andreas/2017/citydata/unsd/cities#000750U	Neuquén-Plottier	2012	273503
http://harth.org/andreas/2017/citydata/unsd/cities#000600U	BUENOS AIRES	2010	13047383.5911513
http://harth.org/andreas/2017/citydata/unsd/cities#000610U	Catamarca	2010	204865.910814638
http://harth.org/andreas/2017/citydata/unsd/cities#000620U	Comodoro Rivadavia-Rada Tilly	2010	143291.153938137
http://harth.org/andreas/2017/citydata/unsd/cities#000590U	Bahía Blanca-Cerri	2010	310151
http://harth.org/andreas/2017/citydata/unsd/cities#000908U	Ushuaia-Río Grande	2012	127797
http://harth.org/andreas/2017/citydata/unsd/cities#000905U	Tucumán-Tafí Viejo	2012	828258
http://harth.org/andreas/2017/citydata/unsd/cities#000900U	Santiago del Estero-La Banda	2012	381767
http://harth.org/andreas/2017/citydata/unsd/cities#000660U	Formosa	2010	240088.945193687
http://harth.org/andreas/2017/citydata/unsd/cities#000890U	Santa Fé	2012	516203
http://harth.org/andreas/2017/citydata/unsd/cities#000695U	La Rioja	2010	181938.392736754
http://harth.org/andreas/2017/citydata/unsd/cities#000715U	San Luis - El Chorrillo	2010	203161.629153992
http://harth.org/andreas/2017/citydata/unsd/cities#000720U	Mar del Plata-Batán	2010	618111.615502295
http://harth.org/andreas/2017/citydata/unsd/cities#000730U	Mendoza	2010	902127.207628422
http://harth.org/andreas/2017/citydata/unsd/cities#000760U	Paraná	2010	276605.320616689
http://harth.org/andreas/2017/citydata/unsd/cities#000770U	Posadas	2010	298450.237364442
http://harth.org/andreas/2017/citydata/unsd/cities#000690U	La Plata	2010	744885.526810173
http://harth.org/andreas/2017/citydata/unsd/cities#000650U	Corrientes	2010	358278.429569445
http://harth.org/andreas/2017/citydata/unsd/cities#000640U	Córdoba	2010	1405547.38043669
http://harth.org/andreas/2017/citydata/unsd/cities#000790U	Resistencia	2010	389940.094689328
http://harth.org/andreas/2017/citydata/unsd/cities#000630U	Concordia	2010	152271.040291904
http://harth.org/andreas/2017/citydata/unsd/cities#000850U	San Juan	2010	468329.572242688
http://harth.org/andreas/2017/citydata/unsd/cities#000810U	Rosario	2010	1261404.11160335
http://harth.org/andreas/2017/citydata/unsd/cities#000870U	San Nicolás-Villa Constitución	2010	179757.394037044
http://harth.org/andreas/2017/citydata/unsd/cities#000820U	Salta	2010	537106.522392764
