http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2008	314843
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2009	309764
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2009	318043
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2009	320819
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2010	313333
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2011	318372
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2012	323674
http://citydata.wu.ac.at/resource/112/004790#000001	Brest	2013	328681
http://citydata.wu.ac.at/resource/112/004800#000001	Gomel	1999	475486
http://citydata.wu.ac.at/resource/112/004800#000001	Gomel	2009	482652
http://citydata.wu.ac.at/resource/112/004800#000001	Gomel	2013	508839
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2003	491826
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2004	492150
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2006	492032
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2008	495128
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2009	492136
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2009	498727
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2009	502477
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2010	497650
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2011	504500
http://citydata.wu.ac.at/resource/112/004800#000002	Gomel	2012	501719
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	1999	301622
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2003	313584
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2004	316735
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2006	320166
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2008	325835
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2009	327540
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2009	338244
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2009	342530
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2010	334299
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2011	342444
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2012	349543
http://citydata.wu.ac.at/resource/112/004810#000001	Grodno	2013	354521
http://citydata.wu.ac.at/resource/112/004820#000001	Lida	1999	100714
http://citydata.wu.ac.at/resource/112/004820#000001	Lida	2006	96278
http://citydata.wu.ac.at/resource/112/004820#000001	Lida	2009	97629
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	1999	1677137
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2003	1733854
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2004	1765773
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2006	1789098
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2008	1814822
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2009	1829084
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2009	1836808
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2009	1843743
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2010	1853888
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2011	1874579
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2012	1893063
http://citydata.wu.ac.at/resource/112/004830#000001	MINSK	2013	1911433
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	1999	356457
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2003	364587
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2004	366873
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2006	368481
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2008	370638
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2009	358279
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2009	371982
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2009	372651
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2010	359853
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2011	362140
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2012	365101
http://citydata.wu.ac.at/resource/112/004840#000001	Mogilev	2013	368765
http://citydata.wu.ac.at/resource/112/004850#000001	Mozir	1999	109784
http://citydata.wu.ac.at/resource/112/004850#000001	Mozir	2003	111591
http://citydata.wu.ac.at/resource/112/004850#000001	Mozir	2004	111724
