x,id,label,wikicity,isocode,clabel,wikicountry
http://eurostat.linked-statistics.org/dic/cities#FR018C,FR018C,Reims,Q41876,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR019C,FR019C,New Orleans,Q34404,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR020C,FR020C,Dijon,Q7003,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR021C,FR021C,Poitiers,Q6616,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR022C,FR022C,Sport à Clermont-Ferrand,Q3493975,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR023C,FR023C,Caen,Q41185,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR024C,FR024C,Limoges,Q45656,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR025C,FR025C,Besançon,Q37776,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR026C,FR026C,Grenoble,Q1289,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR027C,FR027C,Ajaccio,Q40104,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR028C,FR028C,Saint Denis,Q244380,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR029C,FR029C,Pointe-à-Pitre (munisipyo),Q24878662,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR030C,FR030C,Fort-de-France (munisipyo),Q27729485,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR031C,FR031C,Cayenne,Q44401,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR032C,FR032C,Toulon,Q575533,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR034C,FR034C,Rhônel Sporting Club de Valenciennes,Q3429969,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR035C,FR035C,Genoese tower,Q1502700,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR036C,FR036C,Angers,Q38380,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR037C,FR037C,Brest,Q140147,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR038C,FR038C,2011 Petit Le Mans,Q3377169,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR039C,FR039C,Avignon,Q6397,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR040C,FR040C,Mulhouse,Q79815,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR041C,FR041C,Béthune,Q207145,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR042C,FR042C,Four Days of Dunkirk,Q513691,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR043C,FR043C,Conservatoire à rayonnement régional de Perpignan,Q2994575,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR044C,FR044C,Nimes,Q42807,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR045C,FR045C,Pau,Q132671,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR046C,FR046C,Bayonne,Q812589,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR047C,FR047C,Annemasse,Q212901,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR048C,FR048C,Annecy,Q50189,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR049C,FR049C,Raid on Lorient,Q3485928,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR050C,FR050C,Montbéliard,Q154715,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR051C,FR051C,Paris–Troyes,Q597018,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR052C,FR052C,Saint-Nazaire,Q152027,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR053C,FR053C,La Rochelle,Q82185,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR055C,FR055C,Thionville,Q22640,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR056C,FR056C,maison d'Angoulême,Q3279163,FR,France,Q142
http://eurostat.linked-statistics.org/dic/cities#FR057C,FR057C,Boulogne Sur Mer,Q2922134,FR,France,Q142
