item,itemLabel,pop,area
http://www.wikidata.org/entity/Q8378,Palencia,79137,94710000
http://www.wikidata.org/entity/Q8385,Ostrava,291634,214
http://www.wikidata.org/entity/Q8471,Reggio Calabria,182703,239000000
http://www.wikidata.org/entity/Q8621,Terni,111401,211000000
http://www.wikidata.org/entity/Q8673,Lagos,21324000,1171280000
http://www.wikidata.org/entity/Q8678,Rio de Janeiro,6476631,1260029215
http://www.wikidata.org/entity/Q8686,Shanghai,24152700,6341
http://www.wikidata.org/entity/Q8692,Bilbao,345122,41500000
http://www.wikidata.org/entity/Q8717,Seville,690566,140000000
http://www.wikidata.org/entity/Q8745,Vigo,292817,109100000
http://www.wikidata.org/entity/Q8757,A Coruña,243978,37830000
http://www.wikidata.org/entity/Q8802,Getafe,176659,78740000
http://www.wikidata.org/entity/Q8810,Granada‎,234758,88020000
http://www.wikidata.org/entity/Q8818,Valencia,790201,134650000
http://www.wikidata.org/entity/Q8826,Palma,402949,208630000
http://www.wikidata.org/entity/Q8851,Málaga,569009,395000000
http://www.wikidata.org/entity/Q9009,Schaffhausen,35413,41.78
http://www.wikidata.org/entity/Q9125,Winterthur,104468,68.05
http://www.wikidata.org/entity/Q9248,Baku,2181800,2130
http://www.wikidata.org/entity/Q9270,Thimphu,104000,26
http://www.wikidata.org/entity/Q9279,Bandar Seri Begawan,50000,100360000
http://www.wikidata.org/entity/Q9306,Eberswalde,41980,58170000
http://www.wikidata.org/entity/Q9310,Dili,222323,48268
http://www.wikidata.org/entity/Q9361,Bishkek,965900,127
http://www.wikidata.org/entity/Q9365,Dushanbe,780000,124600000
http://www.wikidata.org/entity/Q9427,Timbuktu,35330,14789
http://www.wikidata.org/entity/Q9580,Burgos,176608,107.08
http://www.wikidata.org/entity/Q9783,Roermond,57308,71.1
http://www.wikidata.org/entity/Q9824,Erode,151184,8.4
http://www.wikidata.org/entity/Q9920,Haarlem,159134,32.09
http://www.wikidata.org/entity/Q10014,Kampen,52398,161.79
http://www.wikidata.org/entity/Q10086,Mysore,887446,132000000
http://www.wikidata.org/entity/Q79470,Dover,1329,4700000
http://www.wikidata.org/entity/Q79472,Clay,9711,26800000
http://www.wikidata.org/entity/Q79473,Salesville,450,11600000
http://www.wikidata.org/entity/Q79474,Anniston,22666,118400000
http://www.wikidata.org/entity/Q79475,Somerton,14287,3400000
http://www.wikidata.org/entity/Q79477,Sylacauga,12749,50900000
http://www.wikidata.org/entity/Q79478,Corning,3377,8140000
http://www.wikidata.org/entity/Q79479,Pelham,22289,99300000
http://www.wikidata.org/entity/Q79480,Citronelle,3905,63972706
http://www.wikidata.org/entity/Q79481,Bay,2058,8805959
http://www.wikidata.org/entity/Q79482,Eudora,2819,7900000
http://www.wikidata.org/entity/Q79483,Augusta,2693,5179976
http://www.wikidata.org/entity/Q79484,Cullman,15030,53300000
http://www.wikidata.org/entity/Q79485,Wilmot,550,4800000
http://www.wikidata.org/entity/Q79486,Thornton,407,4990000
http://www.wikidata.org/entity/Q79487,Elba,4141,39900000
http://www.wikidata.org/entity/Q79488,Keiser,808,1035995
http://www.wikidata.org/entity/Q79489,El Dorado,21530,42475805
http://www.wikidata.org/entity/Q79490,Winchester,167,1300000
http://www.wikidata.org/entity/Q79491,Palestine,741,8400000
http://www.wikidata.org/entity/Q79492,LaFayette,5630,23000000
http://www.wikidata.org/entity/Q79493,Swifton,798,1400000
http://www.wikidata.org/entity/Q79494,North Pole,2183,10900000
http://www.wikidata.org/entity/Q79495,Gould,1305,4000000
http://www.wikidata.org/entity/Q79496,Monroeville,6519,34700000
http://www.wikidata.org/entity/Q79497,Rogers,57539,98270000
http://www.wikidata.org/entity/Q79498,Mountain View,2876,17700000
http://www.wikidata.org/entity/Q79499,Helena,17560,44300000
http://www.wikidata.org/entity/Q79500,Norphlet,822,5438975
http://www.wikidata.org/entity/Q79501,Prairie Grove,4380,5438975
http://www.wikidata.org/entity/Q79502,Fairhope,16479,31270000
http://www.wikidata.org/entity/Q79504,Mountain Pine,772,4500000
http://www.wikidata.org/entity/Q79505,Bull Shoals,1950,13208939
http://www.wikidata.org/entity/Q79506,Norfork,550,6474970
http://www.wikidata.org/entity/Q79508,Carlisle,2214,12700000
http://www.wikidata.org/entity/Q79509,Prattville,33960,87900000
http://www.wikidata.org/entity/Q79510,Gillett,691,2700000
http://www.wikidata.org/entity/Q79511,Perrytown,272,4000000
http://www.wikidata.org/entity/Q79512,Wrightsville,2114,5300000
http://www.wikidata.org/entity/Q79515,Marshall,1313,6733969
http://www.wikidata.org/entity/Q79516,Perryville,1458,12431942
http://www.wikidata.org/entity/Q79517,Mammoth Spring,977,3625983
http://www.wikidata.org/entity/Q79518,Ozan,85,800000
http://www.wikidata.org/entity/Q79519,Dothan,65496,232400000
http://www.wikidata.org/entity/Q79520,Emmet,518,3900000
http://www.wikidata.org/entity/Q79521,Warrior,3194,25300000
http://www.wikidata.org/entity/Q79522,Reform,1978,20900000
http://www.wikidata.org/entity/Q79524,Gravette,3113,10400000
http://www.wikidata.org/entity/Q79525,Hoonah,753,22532896
http://www.wikidata.org/entity/Q79526,Dardanelle,4745,8028963
http://www.wikidata.org/entity/Q79527,Clarendon,1965,5000000
http://www.wikidata.org/entity/Q79528,Kasaan,66,16200000
http://www.wikidata.org/entity/Q79532,Magazine,915,4402979
http://www.wikidata.org/entity/Q79533,Kake,579,36777831
http://www.wikidata.org/entity/Q79537,Black Rock,717,9064958
http://www.wikidata.org/entity/Q79538,Kachemak,472,4200000
http://www.wikidata.org/entity/Q79539,Columbiana,4197,39400000
http://www.wikidata.org/entity/Q79548,Maumelle,17163,24086889
http://www.wikidata.org/entity/Q79552,Satsuma,6168,16900000
http://www.wikidata.org/entity/Q79555,Weaver,3038,8990000
http://www.wikidata.org/entity/Q79556,Guntersville,8197,109900000
http://www.wikidata.org/entity/Q79558,Mountain Village,813,11300000
http://www.wikidata.org/entity/Q79562,Magnolia,11577,34360000
http://www.wikidata.org/entity/Q79563,Stevenson,1770,13600000
http://www.wikidata.org/entity/Q79565,Nightmute,280,263000000
http://www.wikidata.org/entity/Q79567,Mena,5737,17600000
http://www.wikidata.org/entity/Q79568,Sheffield,9039,16700000
http://www.wikidata.org/entity/Q79570,Carbon Hill,2071,14400000
http://www.wikidata.org/entity/Q79571,Hanceville,3096,10950000
http://www.wikidata.org/entity/Q79574,McGrath,346,141413350
http://www.wikidata.org/entity/Q79577,Scottsboro,14770,134000000
http://www.wikidata.org/entity/Q79580,Tuscaloosa,90468,182076164
http://www.wikidata.org/entity/Q79581,Bradley,563,2400000
http://www.wikidata.org/entity/Q79582,Marianna,4115,9323957
http://www.wikidata.org/entity/Q79584,Pell City,9565,70447676
http://www.wikidata.org/entity/Q79585,Westover,2200,56979738
http://www.wikidata.org/entity/Q79588,Lincoln,6326,55500000
http://www.wikidata.org/entity/Q79589,Livingston,3297,18647914
http://www.wikidata.org/entity/Q79590,Hackett,812,4200000
http://www.wikidata.org/entity/Q79592,Jasper,466,1400000
http://www.wikidata.org/entity/Q79594,Brinkley,3188,15539928
http://www.wikidata.org/entity/Q79595,East Brewton,2478,8920000
http://www.wikidata.org/entity/Q79596,Grannis,554,22400000
http://www.wikidata.org/entity/Q79597,Leslie,441,1900000
http://www.wikidata.org/entity/Q79599,Johnson,3354,8028963
http://www.wikidata.org/entity/Q79601,Gassville,2158,8900000
http://www.wikidata.org/entity/Q79603,Orange Beach,3784,41300000
http://www.wikidata.org/entity/Q79606,Tuscumbia,8423,22800000
http://www.wikidata.org/entity/Q79607,Cordova,2454,195900000
http://www.wikidata.org/entity/Q79609,Prichard,22659,65800000
http://www.wikidata.org/entity/Q79610,Booneville,3990,10618951
http://www.wikidata.org/entity/Q79612,Cotter,1078,6474970
